Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/19,3295,12696.03,8178.462,505911,1261.877,1468.66477,85.92001563433702,165.28163,72.38247226869677,INDIGO,2,2019-20
05/19,3146,12181,7857.857,482988,1222.035,1418.773,86.13322920579967,159.7849916320001,72.89081093375664,INDIGO,2,2019-20
06/19,3264,12491.666666666666,8127.877,508202,1272.375,1481.84,85.86453328294553,166.97038043700002,72.40366852767296,INDIGO,2,2019-20
07/19,3680,13658.35,8940.518,545117,1324.527,1664.293,79.58496490702058,187.719061159,67.76065468133817,INDIGO,2,2019-20
08/19,4070,15003,9942.222,584501,1419.025,1852.296,76.60897610317143,212.96016736299998,63.804682379587454,INDIGO,2,2019-20
09/19,4279,16199.06,10717.355,592799,1457.436,1981.627,73.54744359054453,223.944740262,62.45082058430077,INDIGO,2,2019-20
10/19,4526,17221.59,11189.4,646108,1584.908,2015.366,78.64119966298925,233.483349682,64.25719880468475,INDIGO,2,2019-20
11/19,4582,17585.53,11368.671,695212,1715.1,2043.719,83.92053897820591,231.60912627000002,69.75905524666179,INDIGO,2,2019-20
12/19,4887,18875.766666666666,12229.791,773623,1927.634,2189.778,88.02874081299566,250.281390008,72.27225836735933,INDIGO,2,2019-20
01/20,4831,18788.45,12085.676,751983,1873.376,2189.558,85.55955128843355,250.823015873,70.39794942279354,INDIGO,2,2019-20
02/20,4364,16541.35,10781.079,621387,1515.813,1981.845,76.48494206156386,224.756816418,64.77336616667827,INDIGO,2,2019-20
03/20,2061,7485.34,4859.258,259243,609.571,901.216,67.63872368000568,102.664546688,58.2585003601745,INDIGO,2,2019-20
