Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/19,11983,16146,9292.74,1440598,1317.6333319999999,1405.6573130000002,93.73787763305292,123.30476,85.83662950238093,SPICE,1,2019-20
05/19,14773,20854,12222.041,1802705,1728.070602,1841.0239410000001,93.86464583732428,166.6819485,83.6718240787784,SPICE,1,2019-20
06/19,15208,21867,12868.19,1875606,1818.349,1940.661,93.69740516246783,177.851,82.67201196507187,SPICE,1,2019-20
07/19,15005,21954,12812.882,1847629,1788.80051,1935.818512,92.40538298974589,177.6529265,81.92109579461389,SPICE,1,2019-20
08/19,14603,21459,12644.251,1833644,1782.9770859999999,1928.853803,92.4371294095429,176.362697,82.5017804530399,SPICE,1,2019-20
09/19,13543,19047,11615.632,1700367,1653.697899,1777.5928359999998,93.03018472560947,161.65464300000002,83.76617764081166,SPICE,1,2019-20
10/19,16098,23727,14075.107,2004583,1985.372914,2205.339316,90.02573434373035,196.2777335,82.07257539989882,SPICE,1,2019-20
11/19,16148,23558,14385.58,2080133,2118.3782370000004,2283.171178,92.78227832464344,201.302168,84.51283319760371,SPICE,1,2019-20
12/19,16639,25364,14944.214,2144156,2201.985855,2374.186173,92.7469749441591,208.638769,85.8665916879523,SPICE,1,2019-20
01/20,16693,25406.85,14921.647,2124455,2170.814842,2372.6189520000003,91.49445764015796,208.1460595,84.87061718072063,SPICE,1,2019-20
02/20,14907,22321.816666666666,12970.659,1890633,1884.852114,2026.1872290000001,93.02457774004654,176.974224,86.70490028536587,SPICE,1,2019-20
03/20,10999,16232.25,9509.13,1245208,1246.1627879999999,1489.2327579999999,83.67817463762773,129.754124,77.79661044530648,SPICE,1,2019-20
