Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/20,,,,,0,0,,0,,ALLIANCE,1,2020-21
05/20,212,281,86,3772,1.548,6.676,23.187537447573398,0.5029,27.957844501889046,ALLIANCE,1,2020-21
06/20,1422,2200,752,36092,14.295,42.942,33.289087606539056,3.968,32.88810483870967,ALLIANCE,1,2020-21
07/20,1540,2504,917,41967,16.366,48.616,33.66381438209643,4.497,33.24438514565266,ALLIANCE,1,2020-21
08/20,1229,2371,1011,45544,18.673,44.933,41.55742995126076,4.168,41.09884836852207,ALLIANCE,1,2020-21
09/20,1260,2548,1146,49709,20.3,48.594,41.774704696053014,4.509,41.36172100243956,ALLIANCE,1,2020-21
10/20,1386,2874,1339,63236,25.317,54.388,46.54887107450173,5.044,46.05471847739889,ALLIANCE,1,2020-21
11/20,1600,3096,1359,82656,33.735,59.069,57.11117506644771,5.472,56.35964912280701,ALLIANCE,1,2020-21
12/20,1787,3482,1474,99226,40.329,64.982,62.061801729709764,6.032,61.107427055702914,ALLIANCE,1,2020-21
01/21,1652,3167,1351,92039,36.6,59.562,61.44857459454015,5.536,60.38656069364162,ALLIANCE,1,2020-21
02/21,1660,3086,1240,95469,37.382,57.272,65.2709875680961,5.335,63.95501405810684,ALLIANCE,1,2020-21
03/21,1809,3472,1515,95563,38.098,65.795,57.9040960559313,6.117,56.90698054601929,ALLIANCE,1,2020-21
