Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/20,0,0,0,0,0,0,0,0,0,VISTARA,2,2020-21
05/20,0,0,0,0,0,0,0,0,0,VISTARA,2,2020-21
06/20,4,26.23,11.42,357,0.85857,1.87288,45.842232283969075,0.191856,46.9882880910683,VISTARA,2,2020-21
07/20,6,16.06,11.828,787,1.5573759999999999,1.939792,80.28572135569175,0.19871039999999998,82.29286438958404,VISTARA,2,2020-21
08/20,56,188.42,143.941,5000,12.240990000000002,27.255976,44.911215067110426,3.3980941000000007,46.26078865797153,VISTARA,2,2020-21
09/20,185,611.19,539.009,19790,64.018776,118.53091599999999,54.010192581317774,17.0668056,57.55337502643144,VISTARA,2,2020-21
10/20,171,672.32,518.764,21809,69.39245299999999,119.047112,58.289908788379506,17.4177312,65.14932676765618,VISTARA,2,2020-21
11/20,180,669.57,500.98,20584,57.768335,110.876432,52.101545800102954,15.681968000000001,64.45884336073124,VISTARA,2,2020-21
12/20,239,873.13,643.671,29791,89.96529,134.7015,66.78863264328905,18.1275032,68.8366954473907,VISTARA,2,2020-21
01/21,136,516.27,377.31,12733,42.591728,79.21256400000001,53.76890463992555,9.9109208,58.045045471456106,VISTARA,2,2020-21
02/21,156,581.56,434.919,15243,49.987303999999995,94.827024,52.71419674627773,13.3314112,56.149848487157904,VISTARA,2,2020-21
03/21,191,715.31,532.48,19597,63.319465,117.55461199999999,53.86387137239669,16.7602664,58.710181008817386,VISTARA,2,2020-21
