Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/21,4172,7719.85,5128.166,376800,388957.213,658576.174,59.060322610456296,68551.36266,60.75965910682599,AI,1,2021-22
05/21,4940,9262.38333333333,5822.601,489993,504753.36,778558.816,64.8317570396634,81349.38974000007,64.43526262130747,AI,1,2021-22
06/21,6042,11342.550000000003,6978.357,648329,674729.318,980470.556,68.81688734771144,105773.77815599996,65.20117842636404,AI,1,2021-22
07/21,6113,11502.849999999991,7091.216,598097,617156.063,969326.674,63.668531936014794,103656.74623599996,61.39954783048089,AI,1,2021-22
08/21,7405,14004.249999999993,8435.191,859763,886480.416,1171554.486,75.66702416263036,125820.85805199979,71.36917547064269,AI,1,2021-22
09/21,7294,14167.316666666668,8460.532,945717,991291.339,1220430.36,81.22473608408103,133286.57048000014,75.11902283697486,AI,1,2021-22
10/21,7810,15250.033333333347,8982.624,935686,988332.989,1292699.302,76.4549797057135,139557.15276400006,70.46672236741554,AI,1,2021-22
11/21,75715,145231.3333333333,89076.521,7963898,8384479.618,12402762.606999999,67.60171006794793,1326831.3530080002,64.59839507796849,AI,1,2021-22
12/21,,,,,,,,,,AI,1,2021-22
01/22,7172,13607.59999999999,8202.754,936381,986415.702,1179524.86,83.62822484301009,126992.18943999999,77.38787920975923,AI,1,2021-22
02/22,6716,12944.68199999999,7647.907,826023,877610.752,1103321.694,79.54259911434318,116198.135,73.78918245903435,AI,1,2021-22
03/22,6667,13037.602999999996,7705.679,822814,883040.33,1097018.386,80.49457887572726,114267.217,75.84783831744147,AI,1,2021-22
