Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/22,26,40.300000000000004,18.512,2372,1.6810319999999999,3.443232,48.821339950372206,0.110894,88.8712680577849,AIE,1,2022-23
05/22,26,41.589999999999996,18.512,3227,2.287656,3.443232,66.43920595533498,0.16714911999999998,87.8377917873573,AIE,1,2022-23
06/22,22,34.41666666666667,15.664,1912,1.346392,2.913504,46.21212121212121,0.049867056,87.02704246266313,AIE,1,2022-23
07/22,,,,,0,0,,0,,AIE,1,2022-23
08/22,,,,,0,0,,0,,AIE,1,2022-23
09/22,,,,,0,0,,0,,AIE,1,2022-23
10/22,8,12.1999,5.696,972,0.684944,1.059456,64.65053763440861,0.10345359999999999,53.90227116311082,AIE,1,2022-23
11/22,0,0,0,0,0,0,,0,,AIE,1,2022-23
12/22,,,,,0,0,,0,,AIE,1,2022-23
01/23,,,,,0,0,,0,,AIE,1,2022-23
02/23,,,,,0,0,,0,,AIE,1,2022-23
03/23,,,,,,,,,,AIE,1,2022-23
