Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/24,3605,7333.11666,3695.376,579539,602.15691,685.224005,87.87738106168653,75.77738028,70.32725485241596,AKASA,1,2024-25
05/24,3937,8266.566666666668,4222.121,663762,707.955322,783.212207,90.39125229058132,86.57881325999999,73.13005915184105,AKASA,1,2024-25
06/24,3845,8148.166,4148.704,634429,691.510167,771.646477,89.61489329782815,85.07332421000001,73.0133633742487,AKASA,1,2024-25
07/24,3808,8223.316666666668,4106.42,604187,659.296319,762.840907,86.4264505154546,84.2062485,70.89616176167735,AKASA,1,2024-25
08/24,3718,8112.66,4098.912,591857,649.7243860000001,759.7001759999999,85.52379037490181,84.05228947,69.55356197747126,AKASA,1,2024-25
09/24,3563,7791.35,3953.16,572972,634.605844,739.072556,85.8651615254944,81.06349897,71.32662829098703,AKASA,1,2024-25
10/24,3841,8532.816666666668,4425.466,615370,714.114747,833.4847900000001,85.67819779890642,90.74860577999999,71.4466550782969,AKASA,1,2024-25
11/24,3881,8730.9,4601.871,672121,803.209656,867.5938490000001,92.57899383747244,94.36596673,76.38055599666299,AKASA,1,2024-25
12/24,3920,8844.51,4618.402,686835,811.906922,870.1980590000001,93.30139427488656,94.70495139,77.70008750331294,AKASA,1,2024-25
01/25,3902,8808.4,4614.186,685848,815.4231990000001,869.5042530000001,93.78024272872648,94.61849805,77.73248174065684,AKASA,1,2024-25
02/25,3681,8332.616666666667,4375.184,657633,785.475804,825.47444,95.15446704806511,89.71752312,78.43239486881636,AKASA,1,2024-25
03/25,4135,9346.616666666667,4910.706,719271,857.586721,927.060682,92.50599638740799,100.69893723999999,76.17611627536576,AKASA,1,2024-25
