Date,Departures,Hours,Kilometers,Passengers_Carried,RPK,ASK,PLF,ATK,WLF,Airline,Type,Session
04/24,601,848.9166,618,0,0,0,0,17.119,65.60546760908932,BLUE,1,2024-25
05/24,644,896.91666,675,0,0,0,0,18.682,68.82560753666633,BLUE,1,2024-25
06/24,640,891.75,682,0,0,0,0,18.851,69.13161105511644,BLUE,1,2024-25
07/24,610,872.3333333333334,627,,0,0,0,17.311,71.3303679741205,BLUE,1,2024-25
08/24,627,892.5,665,,0,0,0,18.669,69.48952809470245,BLUE,1,2024-25
09/24,526,736.9166666666666,512,,0,0,0,14.677,71.68358656401172,BLUE,1,2024-25
10/24,589,821.6666666666666,585,,0,0,0,16.584,71.62325132657983,BLUE,1,2024-25
11/24,581,836.4166666666666,568,0,0,0,0,15.743,68.31607698659722,BLUE,1,2024-25
12/24,653,954.666,651,,0,0,0,18.868,64.50604197583209,BLUE,1,2024-25
01/25,647,920.4166666666666,640,,0,0,0,18.437,63.37256603568909,BLUE,1,2024-25
02/25,591,854.4166666666666,589,,0,0,0,17.013,62.34056309880679,BLUE,1,2024-25
03/25,596,842.1666666666666,592,,0,0,0,17.464,65.02519468621163,BLUE,1,2024-25
